# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
xian zhi de 	閒置的	c=1 d=0.0133665 t=15065
xian zhi de ji qi 	閒置的機器	c=1 d=0.00530026 t=15065
xian zhuang 	現狀	c=2 d=0.23457 t=15065
xian zi ji 	先自己	c=1 d=3.01451e-11 t=15065
xian zuo 	先做	c=1 d=2.63246e-14 t=15065
xian zuo dian 	先做點	c=1 d=1.77496e-15 t=15065
xiang 	像	c=4 d=0.123076 t=15065
xiang 	向	c=5 d=0.829283 t=15065
xiang 	想	c=7 d=0.563847 t=15065
xiang 	相	c=0 d=0.1 t=5523
xiang 	響	c=2 d=0.0116903 t=15065
xiang 	項	c=1 d=1.45198e-05 t=15065
xiang bao xiao 	想報銷	c=1 d=3.77771e-19 t=15065
xiang can jia 	想參加	c=1 d=6.13565e-19 t=15065
xiang cha 	相差	c=0 d=9.81033e-12 t=15065
xiang cha bu da 	相差不大	c=1 d=9.85951e-11 t=15065
xiang chi 	相斥	c=1 d=1 t=5522
xiang chu 	想出	c=1 d=4.21769e-21 t=15065
xiang dao 	想到	c=1 d=6.53992e-05 t=15065
xiang deng 	相等	c=1 d=0.254107 t=15065
xiang dui 	相對	c=0 d=0.0138069 t=15065
xiang dui cheng shu 	相對成熟	c=1 d=0.138761 t=15065
xiang fa 	想法	c=2 d=0.000921047 t=15065
xiang fan 	相反	c=0 d=0.0847894 t=15065
xiang gang 	香港	c=1 d=0.035437 t=15065
xiang guan 	相關	c=7 d=0.0542043 t=15065
xiang guan chan pin 	相關產品	c=1 d=0.000405658 t=15065
xiang guan de 	相關的	c=2 d=4.95983e-16 t=15065
xiang guan de gong neng 	相關的功能	c=1 d=4.32975e-06 t=15065
xiang guan de ying yong 	相關的應用	c=1 d=0.000199439 t=15065
xiang guan han shu 	相關函數	c=1 d=0.522046 t=15065
xiang guan li ti 	相關例題	c=1 d=0.000132358 t=15065
xiang guan tong shi 	相關同事	c=1 d=4.60297e-20 t=15065
xiang guan wen dang 	相關文檔	c=1 d=3.94688e-05 t=15065
xiang guan xing 	相關性	c=1 d=3.1625e-16 t=15065
xiang hao le 	想好了	c=1 d=0.0706512 t=15065
xiang jie he 	相結合	c=2 d=0.0346727 t=15065
xiang jin 	詳盡	c=1 d=0.000148489 t=15065
xiang liang 	向量	c=1 d=0.591555 t=15065
xiang mu 	項目	c=30 d=0.994173 t=15065
xiang mu bei jing 	項目背景	c=1 d=0.053397 t=15065
xiang mu de ming zi 	項目的名字	c=1 d=1.06346e-18 t=15065
xiang mu guan li 	項目管理	c=1 d=0.000342239 t=15065
xiang mu jin zhan 	項目進展	c=1 d=0.000203468 t=15065
xiang mu xu yao 	項目需要	c=1 d=1.27341e-20 t=15065
xiang ni 	向你	c=0 d=0.0145148 t=15065
xiang ni hui bao yi xia 	向你彙報一下	c=1 d=0.145876 t=15065
xiang nin 	向您	c=1 d=0.000443861 t=15065
xiang qi 	想起	c=0 d=9.37706e-10 t=15065
xiang qi 	象棋	c=1 d=1.32211e-05 t=15065
xiang qi gao shou 	象棋高手	c=1 d=1.15943e-05 t=15065
xiang qian 	向前	c=0 d=0.1 t=5422
xiang qian kan 	向前看	c=0 d=0.00587185 t=15065
xiang qian kan le 	向前看了	c=1 d=0.0590129 t=15065
xiang qian yun dong 	向前運動	c=1 d=1 t=5423
xiang shi 	像是	c=1 d=0.353455 t=15065
xiang shi ta de 	像是他的	c=1 d=5.04348e-07 t=15065
xiang tong 	相同	c=1 d=0.0249075 t=15065
xiang wen 	想問	c=0 d=0.000327971 t=15065
xiang wen 	香吻	c=0 d=1.44199e-13 t=15065
xiang wen yi ge 	香吻一個	c=1 d=1.44921e-12 t=15065
xiang wen yi ge wen ti 	想問一個問題	c=1 d=0.00329615 t=15065
xiang xi 	詳細	c=3 d=0.206033 t=15065
xiang xi bu zhou 	詳細步驟	c=1 d=4.18083e-06 t=15065
xiang xi jie gou tu 	詳細結構圖	c=2 d=0.0363576 t=15065
xiang xi jin xing 	詳細進行	c=1 d=9.37706e-09 t=15065
xiang xiang 	想想	c=1 d=0.882532 t=15065
xiang xiang ba 	想想吧	c=1 d=0.0081887 t=15065
xiang xiang kan 	想想看	c=1 d=0.000379148 t=15065
xiang xin 	相信	c=1 d=0.0214381 t=15065
xiang xin bu jiu de jiang lai 	相信不久的將來	c=1 d=1 t=5565
xiang xin zi ji 	相信自己	c=0 d=0.0268474 t=15065
xiang xin zi ji neng gou 	相信自己能夠	c=1 d=0.26982 t=15065
xiang yi ge 	像一個	c=0 d=0.1 t=5584
xiang yi miao 	響一秒	c=1 d=0.0072265 t=15065
xiang yi sheng 	響一聲	c=1 d=0.00647375 t=15065
xiang yi tuan huo 	像一團火	c=1 d=1 t=5602
xiang ying 	相應	c=0 d=9.19294e-12 t=15065
xiang ying tiao zheng le 	相應調整了	c=1 d=9.23902e-11 t=15065
xiang zhao 	想找	c=0 d=0.045612 t=15065
xiang zhao ren 	想找人	c=1 d=0.458406 t=15065
xiang zong ti 	向總體	c=1 d=0.0232837 t=15065
xiao 	小	c=9 d=1.24789 t=15065
xiao 	校	c=1 d=1 t=5684
xiao 	肖	c=2 d=1.49034e-17 t=15065
xiao bu zhou 	小步驟	c=1 d=1.01074e-08 t=15065
xiao chu 	消除	c=0 d=0.00241131 t=15065
xiao chu lang fei 	消除浪費	c=1 d=0.024234 t=15065
xiao du 	消毒	c=2 d=0.0906761 t=15065
xiao du mo kuai 	消毒模塊	c=1 d=0.0239928 t=15065
xiao du xiang 	消毒箱	c=3 d=0.105425 t=15065
xiao e 	小額	c=1 d=9.14709e-11 t=15065
xiao fei 	小費	c=2 d=2.86962e-12 t=15065
xiao fei shui 	消費稅	c=1 d=1.02832e-05 t=15065
xiao guo 	效果	c=1 d=0.0207562 t=15065
xiao hai 	小孩	c=0 d=0.1 t=5633
xiao he shuang pin 	小鶴雙拼	c=1 d=0.000253537 t=15065
xiao hui 	銷毀	c=1 d=4.37923e-22 t=15065
xiao ling shi 	小零食	c=1 d=0.000696112 t=15065
xiao lv 	效率	c=4 d=0.932394 t=15065
xiao lv gao 	效率高	c=1 d=0.67032 t=15065
xiao mi 	小米	c=1 d=0.066365 t=15065
xiao mi he zi 	小米盒子	c=2 d=0.666977 t=15065
xiao peng you 	小朋友	c=1 d=9.795e-22 t=15065
xiao qi 	小氣	c=1 d=6.79734e-18 t=15065
xiao qian 	肖茜	c=2 d=5.16022e-12 t=15065
xiao qun 	小羣	c=1 d=3.2092e-12 t=15065
xiao ri 	曉日	c=1 d=0.00873865 t=15065
xiao sheng 	小勝	c=1 d=0.0428521 t=15065
xiao sheng 	小升	c=0 d=2.73284e-05 t=15065
xiao sheng chu 	小升初	c=6 d=0.3772 t=15065
xiao shi 	小時	c=5 d=0.669545 t=15065
xiao shi 	消逝	c=1 d=1 t=5648
xiao shi hou 	小時候	c=2 d=9.17591e-14 t=15065
xiao shi hou zhao pian 	小時候照片	c=1 d=1.94681e-14 t=15065
xiao shi le 	消失了	c=1 d=0.00298248 t=15065
xiao shou 	銷售	c=3 d=0.358933 t=15065
xiao shou bu men 	銷售部門	c=1 d=2.05018e-05 t=15065
xiao shou dai biao 	銷售代表	c=2 d=5.06825e-05 t=15065
xiao shou yu ce 	銷售預測	c=1 d=8.56707e-05 t=15065
xiao shu 	小數	c=3 d=0.161254 t=15065
xiao shu chu fa 	小數除法	c=1 d=6.42702e-06 t=15065
xiao shu dian 	小數點	c=2 d=1.93209e-05 t=15065
xiao shu wei 	小數位	c=1 d=4.78512e-06 t=15065
xiao shu wei shu dian cuo 	小數位數點錯	c=1 d=1.47392e-05 t=15065
xiao shu zhuan huan 	小數轉換	c=1 d=1.64956e-06 t=15065
xiao shuo 	小說	c=4 d=0.347561 t=15065
xiao ti qin 	小提琴	c=1 d=0.127454 t=15065
xiao tuo fu 	小託福	c=3 d=5.07968e-09 t=15065
xiao xi 	消息	c=1 d=1.16865e-10 t=15065
xiao xi lai yuan 	消息來源	c=1 d=5.30116e-05 t=15065
xiao xiang 	肖像	c=1 d=0.0495388 t=15065
xiao xiao 	小小	c=0 d=0.00880368 t=15065
xiao xiao quan zi 	小小圈子	c=1 d=0.0884781 t=15065
xiao xin 	小心	c=0 d=0.00285814 t=15065
xiao xing 	小型	c=1 d=1 t=5196
xiao xue 	小學	c=5 d=0.556599 t=15065
xiao xue ao shu 	小學奧數	c=2 d=7.98788e-05 t=15065
xiao xue jiao cai 	小學教材	c=1 d=1.39552e-09 t=15065
xiao xue jie duan 	小學階段	c=1 d=8.35555e-05 t=15065
xiao xue sheng 	小學生	c=3 d=4.76358e-05 t=15065
xiao xue shu xue 	小學數學	c=3 d=4.8091e-06 t=15065
xiao ya 	小亞	c=1 d=0.00522135 t=15065
xiao ying 	效應	c=0 d=2.71588e-20 t=15065
xiao yu 	小於	c=1 d=2.73991e-05 t=15065
xiao zhi 	小指	c=1 d=4.40582e-05 t=15065
xiao zu 	小組	c=0 d=0.00177743 t=15065
xiao zu li mian 	小組裏面	c=1 d=1.34867e-19 t=15065
xie 	些	c=1 d=0.0447088 t=15065
xie 	寫	c=3 d=1.17515 t=15065
xie ba 	寫吧	c=1 d=2.97215e-21 t=15065
xie cheng 	協程	c=1 d=0.00358858 t=15065
xie cheng 	寫成	c=0 d=0.0198891 t=15065
xie cheng xu 	寫程序	c=1 d=3.22748e-20 t=15065
xie chu lai 	寫出來	c=1 d=6.50995e-06 t=15065
xie cuo 	寫錯	c=0 d=0.00366992 t=15065
xie cuo le 	寫錯了	c=1 d=0.0368832 t=15065
xie de 	寫的	c=0 d=0.000272578 t=15065
xie de bi jiao cong mang 	寫的比較匆忙	c=1 d=0.00213348 t=15065
xie de na ge 	寫的那個	c=1 d=0.000493001 t=15065
xie hen duo xi jie 	寫很多細節	c=1 d=0.12493 t=15065
xie hui 	協會	c=1 d=0.140858 t=15065
xie jin qu 	寫進去	c=2 d=0.00383216 t=15065
xie le zhi hou 	寫了之後	c=1 d=2.21821e-20 t=15065
xie liang ge ren 	寫兩個人	c=1 d=3.98099e-18 t=15065
xie mu 	謝幕	c=1 d=0.0283654 t=15065
xie mu yan chu 	謝幕演出	c=1 d=1 t=5621
xie ru 	寫入	c=1 d=0.00378169 t=15065
xie ru dao 	寫入到	c=1 d=0.0380064 t=15065
xie shang qu 	寫上去	c=1 d=0.00144449 t=15065
xie shen me 	些什麼	c=0 d=0.0970446 t=15065
xie ti zi 	斜體字	c=1 d=0.00660453 t=15065
xie tiao 	協調	c=6 d=0.0397293 t=15065
xie tong 	協同	c=1 d=4.29704e-05 t=15065
xie wan 	寫完	c=0 d=1.26225e-11 t=15065
xie wan le ma 	寫完了嗎	c=1 d=1.26599e-10 t=15065
xie wo de ming zi 	寫我的名字	c=1 d=3.80582e-18 t=15065
xie xie 	謝謝	c=46 d=1.82478 t=15065
xie xie la 	謝謝啦	c=1 d=0.240508 t=15065
xie xie le 	謝謝了	c=1 d=3.53756e-11 t=15065
xie xie ni 	謝謝你	c=1 d=2.92591e-13 t=15065
xie yi 	協議	c=0 d=0.0272165 t=15065
xie yi ge 	寫一個	c=1 d=0.0095616 t=15065
xie zi 	寫字	c=2 d=0.0160035 t=15065
xie zi huan jing 	寫字環境	c=1 d=1.58871e-05 t=15065
xie zi ji ben gong 	寫字基本功	c=1 d=1.48131e-05 t=15065
xie zuo 	協作	c=3 d=0.000330468 t=15065
xie zuo 	寫作	c=1 d=1.6641e-21 t=15065
xin 	心	c=0 d=0.00569831 t=15065
xin 	新	c=1 d=0.0806325 t=15065
xin chan pin 	新產品	c=1 d=0.071719 t=15065
xin de 	新的	c=7 d=0.0824965 t=15065
xin de nian tou 	新的念頭	c=1 d=7.60089e-09 t=15065
xin de tiao zhan 	新的挑戰	c=1 d=6.37954e-07 t=15065
xin dong fang 	新東方	c=1 d=1.24714e-10 t=15065
xin fa song 	新發送	c=1 d=3.74788e-14 t=15065
xin hao 	信號	c=2 d=0.080704 t=15065
xin ji 	心機	c=2 d=0.17046 t=15065
xin ji tai zhong 	心機太重	c=1 d=0.10383 t=15065
xin jia po 	新加坡	c=1 d=0.0184074 t=15065
xin jian 	新建	c=1 d=0.179964 t=15065
xin jie da 	新解答	c=1 d=1.37807e-08 t=15065
xin ku le 	辛苦了	c=4 d=0.778801 t=15065
xin lai de 	新來的	c=1 d=1.49e-15 t=15065
xin li 	心理	c=1 d=0.515843 t=15065
xin li 	心裏	c=0 d=0.0491644 t=15065
xin li biao zheng 	心理表徵	c=5 d=0.772488 t=15065
xin li biao zheng de jian li guo cheng 	心理表徵的建立過程	c=1 d=0.0944202 t=15065
xin li guo cheng 	心理過程	c=1 d=0.0581343 t=15065
xin li jian kang 	心理健康	c=1 d=0.0262523 t=15065
xin li mo xing 	心理模型	c=1 d=0.0742736 t=15065
xin li shi ying neng li bi shen ti geng qiang 	心裏適應能力比身體更強	c=1 d=0.494109 t=15065
xin li ya li 	心理壓力	c=0 d=1.15145e-13 t=15065
xin li you dian 	心裏有點	c=1 d=2.60762e-11 t=15065
xin li zhi liao 	心理治療	c=0 d=6.9706e-21 t=15065
xin li zhi liao shi 	心理治療師	c=1 d=7.00554e-20 t=15065
xin li zuo yong 	心理作用	c=1 d=0.054204 t=15065
xin ling shou 	新零售	c=1 d=0.07502 t=15065
xin nian hao 	新年好	c=1 d=5.53461e-12 t=15065
xin peng you 	新朋友	c=2 d=0.139959 t=15065
xin qing 	心情	c=0 d=1.15463e-16 t=15065
xin shang 	欣賞	c=0 d=8.98459e-07 t=15065
xin suan 	心算	c=3 d=1.94939e-05 t=15065
xin xi 	信息	c=11 d=0.685329 t=15065
xin xi ao sai 	信息奧賽	c=1 d=0.45612 t=15065
xin xi fen san 	信息分散	c=1 d=0.00030659 t=15065
xin xi hua 	信息化	c=0 d=5.62896e-06 t=15065
xin xi hua cheng du bi jiao di 	信息化程度比較低	c=1 d=5.65718e-05 t=15065
xin xin 	心心	c=1 d=2.83992e-15 t=15065
xin ye tai 	新業態	c=1 d=1.38544e-12 t=15065
xin yong 	信用	c=0 d=5.87885e-17 t=15065
xin yong dai 	信用貸	c=1 d=5.90832e-16 t=15065
xin zhao 	新招	c=1 d=9.94134e-20 t=15065
xin zheng 	新政	c=0 d=0.1 t=5694
xin zhuang 	新裝	c=0 d=2.4059e-06 t=15065
xin zi 	薪資	c=1 d=3.4681e-13 t=15065
xing 	型	c=4 d=0.000137735 t=15065
xing 	性	c=4 d=0.000708695 t=15065
xing 	行	c=0 d=6.63996e-08 t=15065
xing ai 	性愛	c=1 d=4.99754e-17 t=15065
xing cheng 	形成	c=1 d=0.0952278 t=15065
xing cheng bu yi yang de xin li biao zheng 	形成不一樣的心理表徵	c=1 d=0.66034 t=15065
xing cheng hu xiang zhi chi 	形成互相支持	c=1 d=0.29671 t=15065
xing cheng mo shi 	形成模式	c=1 d=1.21887e-05 t=15065
xing de 	性的	c=0 d=0.0164474 t=15065
xing dong 	行動	c=1 d=0.157237 t=15065
xing dong li 	行動力	c=0 d=8.64259e-21 t=15065
xing fu 	幸福	c=0 d=1.5582e-09 t=15065
xing fu ke 	幸福課	c=1 d=1.55376e-08 t=15065
xing ge 	性格	c=0 d=0.00735345 t=15065
xing ma 	行嗎	c=1 d=0.0430669 t=15065
xing ming 	姓名	c=4 d=0.238115 t=15065
xing qu 	興趣	c=3 d=0.418979 t=15065
xing quan 	行權	c=1 d=3.66494e-13 t=15065
xing shi 	形勢	c=1 d=9.09373e-07 t=15065
xing shi 	形式	c=2 d=0.740818 t=15065
xing shi bu yi yang 	形式不一樣	c=1 d=5.77441e-11 t=15065
xing tai 	形態	c=0 d=0.0782705 t=15065
xing wei 	行爲	c=1 d=0.182684 t=15065
xing xiang hua 	形象化	c=1 d=2.08187e-09 t=15065
xing xing 	星星	c=1 d=0.0587385 t=15065
xing yun 	幸運	c=1 d=1.42031e-09 t=15065
xing yun de nian tou 	幸運的念頭	c=1 d=8.44239e-09 t=15065
xiong di jie mei 	兄弟姐妹	c=0 d=0.0332871 t=15065
xiong di jie mei de ji li zuo yong 	兄弟姐妹的激勵作用	c=1 d=0.33454 t=15065
xiong xiong 	熊熊	c=1 d=1 t=5573
xiu 	休	c=0 d=1.86114e-15 t=15065
xiu 	修	c=0 d=0.00300468 t=15065
xiu 	秀	c=2 d=0.822835 t=15065
xiu bing jia 	休病假	c=1 d=1.87047e-14 t=15065
xiu fu 	修復	c=0 d=3.194e-18 t=15065
xiu fu le ma 	修復了嗎	c=1 d=2.62202e-17 t=15065
xiu fu ma 	修復嗎	c=1 d=5.87985e-18 t=15065
xiu gai 	修改	c=8 d=0.497464 t=15065
xiu gai ma 	修改嗎	c=1 d=4.15348e-17 t=15065
xiu gai zhi hou 	修改之後	c=1 d=0.00882647 t=15065
xiu hao 	修好	c=0 d=0.00347353 t=15065
xiu hao le zhi hou 	修好了之後	c=1 d=0.0349094 t=15065
xiu jia 	休假	c=2 d=0.646895 t=15065
xiu jia ji hua 	休假計畫	c=2 d=0.896755 t=15065
xiu mian 	休眠	c=1 d=0.025223 t=15065
xiu shi 	修飾	c=2 d=0.35187 t=15065
xiu shi fu 	修飾符	c=4 d=0.292293 t=15065
xiu xi 	休息	c=3 d=0.251307 t=15065
xiu xi ba 	休息吧	c=1 d=0.113042 t=15065
xiu xi jie shu le ba 	休息結束了吧	c=1 d=3.09134e-13 t=15065
xiu xian 	休閒	c=0 d=0.0245367 t=15065
xu 	虛	c=0 d=1.66184e-06 t=15065
xu lie 	序列	c=1 d=0.191092 t=15065
xu ni 	虛擬	c=0 d=3.87136e-14 t=15065
xu ni gu piao 	虛擬股票	c=1 d=3.89077e-13 t=15065
xu ni huan jing 	虛擬環境	c=1 d=3.6946e-22 t=15065
xu qiu 	需求	c=20 d=1.35625 t=15065
xu qiu bi jiao po qie 	需求比較迫切	c=1 d=0.349938 t=15065
xu qiu you yong de si lu 	需求有用的思路	c=1 d=3.66294e-09 t=15065
xu shu 	敘述	c=0 d=6.8687e-10 t=15065
xu wo yi quan 	虛握一拳	c=1 d=1.67017e-05 t=15065
xu yao 	需要	c=50 d=0.542076 t=15065
xu yao duo jiu shi jian 	需要多久時間	c=1 d=2.84089e-19 t=15065
xu yao duo shao shi jian 	需要多少時間	c=1 d=0.000169103 t=15065
xu yao fan kui 	需要反饋	c=1 d=0.158025 t=15065
xu yao gai jin 	需要改進	c=2 d=0.000393351 t=15065
xu yao geng duo de 	需要更多的	c=1 d=0.000633025 t=15065
xu yao ji suan 	需要計算	c=1 d=7.88932e-06 t=15065
xu yao ji tian 	需要幾天	c=1 d=1.04963e-11 t=15065
xu yao jia kuai su du 	需要加快速度	c=1 d=2.81846e-14 t=15065
xu yao mian shi 	需要面試	c=1 d=2.10315e-11 t=15065
xu yao qu diao 	需要去掉	c=1 d=0.000816895 t=15065
xu yao ti gong 	需要提供	c=1 d=3.48726e-19 t=15065
xu yao wan quan de guan zhu 	需要完全的關注	c=1 d=0.154124 t=15065
xu yao wo 	需要我	c=1 d=0.00109172 t=15065
xu yao wo xian 	需要我先	c=1 d=1.25663e-11 t=15065
xu yao wo zuo shen me 	需要我做什麼	c=1 d=3.91772e-06 t=15065
xu yao xiu gai 	需要修改	c=1 d=0.279431 t=15065
xu yao yi ge 	需要一個	c=2 d=0.293758 t=15065
xu yao yi wei 	需要一位	c=1 d=0.144424 t=15065
xu yao zhun bei yi xia 	需要準備一下	c=1 d=0.165299 t=15065
xu yao zuo 	需要做	c=0 d=0.00308074 t=15065
xu ying 	虛應	c=1 d=0.00794669 t=15065
xuan 	選	c=0 d=4.3454e-20 t=15065
xuan chuan 	宣傳	c=3 d=0.32821 t=15065
xuan fu 	懸浮	c=1 d=0.997796 t=5532
xuan fu gao 	懸浮高	c=1 d=1 t=5533
xuan fu xi tong 	懸浮系統	c=1 d=1 t=5424
xuan fu zhuang tai 	懸浮狀態	c=1 d=1 t=5459
xuan jiang hui 	宣講會	c=1 d=2.30835e-18 t=15065
xuan mu 	炫目	c=1 d=1.26031e-16 t=15065
xuan qu 	選取	c=1 d=0.0224829 t=15065
xuan shang 	選上	c=1 d=0.25924 t=15065
xuan ti 	選題	c=0 d=0.00184997 t=15065
xuan ti shi guan jian 	選題是關鍵	c=1 d=0.0185924 t=15065
xuan xiang 	選項	c=1 d=4.71388e-06 t=15065
xuan xiang ma 	選項嗎	c=1 d=1.49696e-11 t=15065
xuan zai 	選在	c=1 d=0.0153752 t=15065
xuan ze 	選擇	c=8 d=0.575936 t=15065
xuan ze kun nan zheng 	選擇困難症	c=1 d=0.000184106 t=15065
xuan zhong 	選中	c=1 d=4.76612e-18 t=15065
xue 	學	c=0 d=1.68375e-13 t=15065
xue dao lao 	學到老	c=1 d=1.72637e-12 t=15065
xue sheng 	學生	c=2 d=1.04865 t=15065
xue sheng de 	學生的	c=0 d=3.5449e-07 t=15065
xue sheng de tao lun 	學生的討論	c=1 d=3.56267e-06 t=15065
xue sheng si kao tong yong mo shi he cheng xu 	學生思考通用模式和程序	c=1 d=0.377192 t=15065
xue sheng ying dang neng zuo dao shen me 	學生應當能做到什麼	c=1 d=3.4059e-06 t=15065
xue sheng yong 	學生用	c=1 d=0.00914087 t=15065
xue sheng zhi jian de cha bie 	學生之間的差別	c=1 d=0.0816756 t=15065
xue tu 	學徒	c=0 d=0.00332068 t=15065
xue xi 	學習	c=4 d=0.0394132 t=15065
xue xi dao 	學習到	c=1 d=0.0977834 t=15065
xue xi fang fa 	學習方法	c=2 d=0.00421123 t=15065
xue xi gong tong ti 	學習共同體	c=1 d=0.0332068 t=15065
xue xi le yi xia 	學習了一下	c=1 d=0.0327124 t=15065
xue xi neng li 	學習能力	c=1 d=5.19654e-05 t=15065
xue xi xie zi si bu qu 	學習寫字四部曲	c=1 d=1.48873e-05 t=15065
xue xi yu wen 	學習語文	c=1 d=3.25659e-08 t=15065
xue xi zhe 	學習者	c=1 d=0.0424257 t=15065
xue xi zi liao 	學習資料	c=1 d=0.00323088 t=15065
xue xiao 	學校	c=4 d=1.60439 t=15065
xue xiao ban 	血小板	c=1 d=0.000285862 t=15065
xue xiao zong he kao cha 	學校綜合考察	c=1 d=1 t=5683
xue xiao zong he kao cha tong zhi 	學校綜合考察通知	c=1 d=1 t=5680
xue ye 	學業	c=0 d=6.36198e-05 t=15065
xue ye de ya li 	學業的壓力	c=1 d=0.000639387 t=15065
xun fei 	訊飛	c=9 d=0.00427819 t=15065
xun lian 	訓練	c=3 d=0.535261 t=15065
xun lian de 	訓練的	c=0 d=0.025924 t=15065
xun lian fang fa 	訓練方法	c=2 d=0.325476 t=15065
xun lian lei xing 	訓練類型	c=1 d=4.21195e-05 t=15065
xun qiu 	尋求	c=1 d=8.03065e-09 t=15065
xun su 	迅速	c=0 d=2.03468e-05 t=15065
xun zhao 	尋找	c=2 d=0.747472 t=15065
xun zhao zui hao de dao shi huo xue xiao 	尋找最好的導師或學校	c=1 d=0.465334 t=15065
ya chi 	牙齒	c=0 d=3.33381e-20 t=15065
ya chi teng tong 	牙齒疼痛	c=1 d=3.35052e-19 t=15065
ya li 	壓力	c=1 d=6.36198e-05 t=15065
ya si 	雅思	c=1 d=0.00065886 t=15065
yan 	言	c=1 d=3.29044e-12 t=15065
yan an 	延安	c=0 d=0.00167392 t=15065
yan an shi qi 	延安時期	c=1 d=0.0168231 t=15065
yan bing 	眼病	c=1 d=0.0972957 t=15065
yan chang 	延長	c=1 d=0.0275983 t=15065
yan chu 	演出	c=0 d=0.179057 t=5667
yan du 	研讀	c=0 d=2.24631e-22 t=15065
yan du le 	研讀了	c=1 d=2.25757e-21 t=15065
yan fa 	研發	c=0 d=1.90003e-23 t=15065
yan fa ren wu 	研發任務	c=1 d=1.90956e-22 t=15065
yan ge 	嚴格	c=2 d=0.0322254 t=15065
yan hong 	豔紅	c=0 d=0.1 t=5622
yan jie 	眼界	c=1 d=1.25749e-19 t=15065
yan jing 	眼睛	c=1 d=8.99743e-05 t=15065
yan jiu 	研究	c=1 d=1.78385e-15 t=15065
yan jiu yuan 	研究院	c=1 d=3.63464e-06 t=15065
yan se 	顏色	c=2 d=0.0185924 t=15065
yan shi 	延時	c=2 d=0.0016135 t=15065
yan shi 	演示	c=11 d=0.171135 t=15065
yan shi huan jing 	演示環境	c=1 d=2.80927e-05 t=15065
yan shi jiao ben 	演示腳本	c=2 d=0.00128038 t=15065
yan shi shi pin 	演示視頻	c=3 d=0.184987 t=15065
yan shou 	驗收	c=1 d=0.0321422 t=15065
yan shou biao zhun 	驗收標準	c=1 d=0.323033 t=15065
yan suan 	驗算	c=1 d=5.1578e-06 t=15065
yan yong 	沿用	c=0 d=3.34824e-12 t=15065
yan yong shang ci 	沿用上次	c=1 d=3.36503e-11 t=15065
yan zheng 	驗證	c=2 d=2.18479e-05 t=15065
yan zhong 	嚴重	c=1 d=0.0220377 t=15065
yang che 	樣車	c=1 d=1 t=5547
yang cheng 	養成	c=1 d=0.839457 t=15065
yang guang 	陽光	c=0 d=0.1 t=5578
yang guang hao xiang yi ba li jian 	陽光好像一把利劍	c=1 d=1 t=5579
yang huan 	楊歡	c=3 d=0.328728 t=15065
yang huan le 	楊歡了	c=1 d=0.00204983 t=15065
yang pu 	楊浦	c=4 d=0.00173355 t=15065
yang pu qu 	楊浦區	c=8 d=0.378916 t=15065
yang pu xiao xue 	楊浦小學	c=7 d=0.525593 t=15065
yang xing 	陽性	c=1 d=0.0216013 t=15065
yang zhou 	揚州	c=9 d=0.063784 t=15065
yao 	藥	c=0 d=0.0120633 t=15065
yao 	要	c=17 d=0.536659 t=15065
yao an 	要按	c=1 d=4.13136e-13 t=15065
yao an pai 	要安排	c=1 d=2.24592e-19 t=15065
yao bei 	要被	c=1 d=0.0129068 t=15065
yao bu 	要不	c=1 d=0.000567086 t=15065
yao bu chong de ma 	要補充的嗎	c=1 d=1.90923e-20 t=15065
yao bu ni guo lai 	要不你過來	c=1 d=8.89519e-06 t=15065
yao bu wo men tui chi yi xia 	要不我們推遲一下	c=1 d=4.06142e-18 t=15065
yao bu yao 	要不要	c=2 d=0.00252883 t=15065
yao can jia 	要參加	c=1 d=0.131994 t=15065
yao dao 	要到	c=1 d=0.0157237 t=15065
yao dao ren 	要到人	c=1 d=0.158025 t=15065
yao deng 	要等	c=1 d=0.00279479 t=15065
yao dian 	要點	c=2 d=0.927743 t=15065
yao gai jin 	要改進	c=1 d=0.00162053 t=15065
yao he 	要和	c=1 d=6.05583e-12 t=15065
yao huang 	搖晃	c=1 d=0.000100535 t=15065
yao hui qu nan 	要回去難	c=1 d=0.00293808 t=15065
yao jin ke neng de da 	要儘可能的大	c=1 d=2.89483e-05 t=15065
yao kong qi 	遙控器	c=0 d=1.58268e-20 t=15065
yao kuai 	要快	c=1 d=1.1205e-15 t=15065
yao le yi kou 	咬了一口	c=0 d=0.1 t=5633
yao mai 	要賣	c=1 d=7.08461e-05 t=15065
yao pin 	藥品	c=0 d=3.91227e-20 t=15065
yao pin fei 	藥品費	c=1 d=3.93188e-19 t=15065
yao ping heng 	要平衡	c=1 d=0.00484407 t=15065
yao qing 	邀請	c=3 d=0.0848776 t=15065
yao qing dao 	邀請到	c=1 d=2.46337e-18 t=15065
yao qing ni 	邀請你	c=2 d=0.222017 t=15065
yao qiu 	要求	c=6 d=0.687315 t=15065
yao qu 	要去	c=0 d=6.70891e-12 t=15065
yao qu diao 	要去掉	c=1 d=1.6957e-07 t=15065
yao qu diao le ba 	要去掉了吧	c=1 d=0.802519 t=15065
yao rang wo zhi dao 	要讓我知道	c=1 d=0.00386807 t=15065
yao shang yi liu da xue 	要上一流大學	c=1 d=1.88895e-12 t=15065
